A.1	S obzirom na to da se radi o raznoj vrijednosti, ne može se utvrditi da je to vrijednost koja se može utvrditi u skladu s člankom 6.4.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.83	Je li niz iznosa od obrnutoga prirodnog broja ograničen?	U pisanoj je porciji rekao da često nije trivijalno odrediti granicu niza. S tim je na umu dao nam nizu na koju da se obraćamo prije nego što naučimo više o granici.	calculus,sequences-and-series,harmonic-numbers
A.84	Je li ideal koji je generirao ${4,x}$ glavni ideal u $Z[x]$?	Imam: $I=<p,x>$ nije glavni ideal u $Z[x]$ gdje je p prvo. Moje pitanje: Je li $I=<p,x>$ glavni ideal u $Z[x]$ gdje p nije prvo?	abstract-algebra,ring-theory,ideals,principal-ideal-domains
A.85	Pričekuje se da će greška doći do pozicije $N$	U svakom koraku, greška ili kreće desno po $1$ koraku $(+1)$ s vjerovatnoćom $1/2$, ili se vraća na izvor s vjerovatnoćom $1/2$. Koji je očekivani broj koraka za ovaj grešak da doseže poziciju $N$? Pokušao sam prvo pronaći mogućnost da ovaj grešak doseže $N$ kao broj koraka ide do beskonačnosti.	markov-chains,random-walk
A.86	Je li istina da je $\sum_{k=0}^{n}k\cdot \left(\begin{array}{l}{n}\\{k}\end{array}\right)=O\left(2 ^ {n\log _{3}n}\right)?$	Problem: Je li istina da je $\sum_{k=0}^{n}k\cdot \left(\begin{array}{l}{n}\\{k}\end{array}\right)=O\left( 2 ^ {n\log _{3}n}\right)?$ Moj početak rješenja: $$\sum_{k=0}^{n}k\cdot \left(\begin{array}{l}{n}\\{k}\end{array}\right)\leq \sum_{k=0}^{n}k\cdot \left(\begin{array}{l}{n}\\{\lfloor \frac{n}{2}\rfloor}\end{array}\right)\leq \frac{n\cdot(n+1)}{2}\cdot \left(\begin{array}{l}{n}\\{\lfloor \frac{n}{2}\rfloor}\end{array}\right)\leq n(n+1)! \leq nn^n \leq n^{n+1}$$ Mislim da je gornja granica prevelika i ne mogu naći rješenje.	combinatorics,elementary-number-theory,discrete-mathematics
A.87	Je li istina da je $\forall n \in \Bbb{N} : (\sum_{i=1}^{n} a_{i} ) (\sum_{i=1}^{n} \frac{1}{a_{i}} ) \ge n^2$ ako su svi $a_{i}$ pozitivni?	Ako je $\forall i \in \Bbb{N}: a_{i} \in \Bbb{R}^+$ , je li to istina da je $\forall n \in \Bbb{N} : \big(\sum_{i=1}^{n}a_{i}\big) \big(\sum_{i=1}^{n}  \frac{1}{a_{i}}\big) \ge n^2$ ? Ja sam mogao dokazati da se to odnosi na $n=1$ , $n=2$ i $n=3$ koristeći sljedeću lemmu: Lemma 1: Neka $a,b \in \Bbb{R}^+$. Ako je $ab =1$ onda $a+b \ge 2$ Na primjer, slučaj za $n=3$ može se dokazati ovako: Neka $a,b,c \in \Bbb{R}^+$. Onda imamo: $\forall i \in \Bbb{N}: a_{i} \in \Bbb{R}^+$0 $\forall i \in \Bbb{N}: a_{i} \in \Bbb{R}^+$1 Prema lemmu 1, $\forall i \in \Bbb{N}: a_{i} \in \Bbb{R}^+$2, $\forall i \in \Bbb{N}: a_{i} \in \Bbb{R}^+$3 i $\forall i \in \Bbb{N}: a_{i} \in \Bbb{R}^+$4 , stoga: $\forall i \in \Bbb{N}: a_{i} \in \Bbb{R}^+$5 Međutim, nisam siguran u općenitu verziju za sve prirodne $\forall i \in \Bbb{N}: a_{i} \in \Bbb{R}^+$6 je istina. Ne mogu doći do kontramerika i kada pokušam dokazati to indukcijom ja se zaglavim. Evo moj pokušaj: Neka $\forall i \in \Bbb{N}: a_{i} \in \Bbb{R}^+$7 Osnovni slučaj: $\forall i \in \Bbb{N}: a_{i} \in \Bbb{R}^+$8 , tako da je $\forall i \in \Bbb{N}: a_{i} \in \Bbb{R}^+$9 istina. Induktivna teza: Pretpostavljam $\forall n \in \Bbb{N} : \big(\sum_{i=1}^{n}a_{i}\big) \big(\sum_{i=1}^{n}  \frac{1}{a_{i}}\big) \ge n^2$0 je istina. Induktivni korak: $\forall n \in \Bbb{N} : \big(\sum_{i=1}^{n}a_{i}\big) \big(\sum_{i=1}^{n}  \frac{1}{a_{i}}\big) \ge n^2$122 $\forall n \in \Bbb{N} : \big(\sum_{i=1}^{n}a_{i}\big) \big(\sum_{i=1}^{n}  \frac{1}{a_{i}}\big) \ge n^2$3 $\forall n \in \Bbb{N} : \big(\sum_{i=1}^{n}a_{i}\big) \big(\sum_{i=1}^{n}  \frac{1}{a_{i}}\big) \ge n^2$425 I ne znam što učiniti s izrazom $\forall n \in \Bbb{N} : \big(\sum_{i=1}^{n}a_{i}\big) \big(\sum_{i=1}^{n}  \frac{1}{a_{i}}\big) \ge n^2$6 . Ako je to istina, ako ne znam tko može dokazati mi je to neprimerika, ako je to istina?	algebra-precalculus,inequality
A.88	Je li polinom $x^4+10x^2+1$ reduktivan na $\mathbb{Z}[x]$?	Je li polinom $x^4+10x^2+1$ reduktivan na $\mathbb{Z}[x]$?	abstract-algebra,ring-theory,field-theory,irreducible-polynomials
A.89	Parametrizacija pitagorijske jednadžbe	Postoji li poznata potpuna parametrizacija Diofantinske jednadžbe $$ A^{2} + B^{2} = C^{2} + D^{2} $$ gdje su $A, B, C, D$ (pozitivni) racionalni brojevi, ili ekvivalentno, cjelini?	number-theory,diophantine-equations
A.90	Pitanje o definiciji obrnutoga matrice	Ako je $A$ matrica $ n \times n $, onda je $A$ obrnuto matricom $A^{-1}$ s osobinom: $$ A^{-1}A=\mathbb I_n \ \ \land \ \ AA^{-1}=\mathbb I_n \ \ \ \ (1)$$ gdje je $ \mathbb I_n $ matrica identiteta $ n \times n $. Postoje li slučajevi u kojima je $ A^{-1}A=\mathbb I_n$ ali $AA^{-1} \neq \mathbb I_n$ ili obrnuto (i time (1) kriva izjava)?	linear-algebra,matrices
A.91	Kontinuirana funkcija koja dostiže svaku vrijednost u svom rasponu točno 2 puta.	Postoji li kontinuirana funkcija od $\mathbb{R}\to\mathbb{R}$ koja dostiže sve moguće vrijednosti (svaka vrijednost u svom rasponu) točno $2$ puta (na primjer, $x^2$ bi bio savršeni da nije za $0$..).	real-analysis,calculus
A.92	Postoji li glavni maksimalni ideal u $\mathbb F_q[X,Y]$?	S obzirom na beskonačno polje $K$, može se dokazati da svaki maksimalni ideal $K[X,Y]$ ne može biti glavni. Zapravo, svaki neprominentalni prvo ideal je maksimalni ideal i može se generirati od strane dva polinomima. Pitam se da li se isti rezultat može održati u $\mathbb F_q[X,Y]$. Možemo li pronaći glavni ideal $I = (P(X,Y))$ za neki neodrezivi polinom $P$ koji je maksimalni ideal? Takvi polinom $P$ mora imati pozitivne stupnjeve u $X$ i $Y$. Dajući neodrezivi polinom $Q(X)$ u samo jednoj promjenljivoj, koeficijent $$\mathbb F_q[X,Y]/(Q(X))\cong (\mathbb F_q[X]/(Q(X)))[Y]$$ je prsten polinomova na polju i kao takav, nikada ne može biti polj. Osim toga, takav polinom $P$ mora imati oblik gdje $K$1, $K$2 polinom $X$ i $K$3 je maksimalni ideal.	polynomials,commutative-algebra,field-theory,finite-fields
A.93	Karakteristički polinom $AB =$ karakteristički polinom $ BA$?	Neka matrica $A,B$ na $\mathbb{R}$ veličine $nxn$. Kako mogu dokazati da je $det(xI - AB) = det(xI - BA)$ ako su $A$ i $B$ jednokratna matrica	linear-algebra,polynomials
A.94	Postoje li $2^{\aleph_{0} }$ skupovi prirodnih brojeva tako da svaki dva imaju krajnje raskrsnice	Pitanje: Postoje li $2^{\aleph_{0} }$ skupovi prirodnih brojeva tako da svaki od njih ima krajnje raskrsnuće. Iz onoga što sam pročitao o beskonačnim obiteljima, moram ignorirati one koji imaju svojstveno $P$.	cardinals,rational-numbers,natural-numbers
A.95	Dugeći i razgraničeni $\sin x$	Problem: Definiranje $\sin x$ kao $b$ nogu pravokotona s $\angle B=x$ (u radijanima) i hipotenuza $1$, dokazuje da $$\lim_{x\to 0}\frac{\sin x}x=1$$ (Motivacija je pronaći izvedenu $\sin x$ u elementarnom, "pre-Taylor" i "pre-serijskom" kontekstu). Vidio sam mnogo puta dokaz da je zasnovan na činjenici da je dužina luk $x$ zadovoljuje $$\sin x<x<\tan x$$ ili ponekad $$\sin x<x<\sin x+1-\cos x$$ Donji granic je jasan jer je $\sin x$ dužina ravnog segmenta i $x$ dužina krivog segmenta s istim krajnjima. Ali ja pronalazim da je gornji temelji na intuitivnoj činjenici: $F$ i $\sin x$0 su dva konveksa podseta $\sin x$1 i $\sin x$2, onda $\sin x$7. ($\sin x$4 je dužina granice $F$). Ali nisam dobio dokaz da sam vidio da je to moguće, ali da sam pokušao definirati ovaj negativan pristup.	real-analysis,derivatives,trigonometry,reference-request,arc-length
A.96	Neka je $\sum_i a_i$ konvergentna suma s pozitivnim $a_i$.	Da li se $\sum_i  \frac{a_i}{s_i}$ uvijek razlikuje? Pokušao sam nekoliko primjera kao što su $a_i= r^i$ (geometrijski niz) i $a_i=1/i^2$ i čini se da se uvijek razlikuje.	sequences-and-series,analysis
A.97	Koja je dimenzija $\mathbb{R}$ u vektorskom prostoru tamo polje $\mathbb{Q}$?	Ako pogledamo $\mathbb{C}$ kao vektorski prostor nad $\mathbb{R}$ njegova dimenzija će biti $2$, jer $\mathbb{C} = span\{1,i\}$. pitanje koje sam pomislio je što bi dimenzija $\mathbb{R}$ bila kao vektorski prostor nad $\mathbb{Q}$? Mislim da odgovor bi trebao biti beskonačan, jer ako je dimenzija bila krajnja, recimo $n$, onda je za svaki $m := n+1$ stvarni broj $x_1,...x_m$ bila linijska kombinacija s racionalnim koeficientima koji daje $0$: $\mathbb{C}$0. Množenje $\mathbb{C}$1 dobivamo da za svaki $\mathbb{C}$2 stvarni broj postoji linijska kombinacija s prirodnim koeficientima koji daje $0$.	linear-algebra,vector-spaces
A.98	Ako je $R:S^{1}\rightarrow S^{1}$ iracionalna rotacija, $\{R^{n}([x])\}$ je guste u $S^{1}$ za sve točke.	Da $\alpha$ je iracionalno broj, a $R:S^{1}\rightarrow S^{1}$ iracionalna rotacija, tj. $[x]\rightarrow[x+\alpha]$. Moram dokazati da je za sve $[x]\in S^{1}$, skup $\{R^{n}([x])\}$ guste u $S^{1}$. Prvo, mogu napisati $R$ na $$R(e^{2\pi ix})=e^{2\pi i (x+\alpha)}.$$. Dakle, mogu napisati $R^{n}(x)$, $\alpha$0 na $\alpha$1. Moram dokazati da za sve $\alpha$2 i za sve $\alpha$3, svaki susjed $\alpha$4 na $\alpha$5 sadrži tačku $\alpha$6 tako da $\alpha$7 za neke $\alpha$0. To je, $\alpha$8 Je li moj način ispravno? Ako je, kako mogu nastaviti sada? Ako nije, što moram učiniti? Ne mislim da je ovo duplicirano.	general-topology,circles,rotations,irrational-numbers
A.99	Racionalni mogu biti skup kontinuiteta funkcije?	Većina funkcija koje sam vidio imaju svoje prekidnosti na racionalnim i kontinuitet na iracionalnim! Pitam se postoji li neki primjer neke funkcije čija su kontinuitetne racionalne? Ili je li na drugim riječima skup kontinuiteta funkcije $f:\mathbb{R}\to\mathbb{R}$ može biti $\mathbb{Q}$?	real-analysis,calculus,continuity
A.100	Je li ovo "ne zatvoreno"?	Je li ispravno reći da ovaj skup $E=(0,1]$ gdje $E\subseteq R$ (Gdje $R$ je skup stvarnih brojeva) nije zatvoren?	real-analysis
A.201	Matrica nad dijelom prstenu koja ima jednostranu obrnuto je inverzibilna	Želim vidjeti postoji li neki elementarni način da se dokaže sljedeća tvrdnja o matrici nad dijeljenim prstenicama (kao što je ne korištenje Wedderburnov teorije ili tensorske tehnike). Ako je $n\times n$ matrica nad dijeljenim prstenom ostavila levo obrnuto, onda ima i pravo obrnuto.	abstract-algebra,matrices,ring-theory
A.202	Prstenovi zarobljeni između polja	U ovom je pitanje pokazano da je integralni domen $D$ takav da su polja $F \subset D \subset E$, $E$ i $F$ s $[E:F]$ krajnjim poljem, sama polje. Međutim, značajno općeniti rezultat drži i čini se vrijednim, nezavisnog adrese; stoga, neka $F \subset E \tag 1$ bude polja s $[E:F] < \infty; \tag 2$ ako je $R$ prstena tako da $F \subset R \subset E, \tag 3$ pokazuje da je $R$ zapravo polje.	abstract-algebra,ring-theory,field-theory,extension-field
A.203	Zašto se simbol oduzimanja nestane?	$+(+x) = +x$ ali zašto je $-(-x) = +x$??? Koji je razlog iza pravila, to je stvarno osnovno i "obvious" jer ne prelazi ne u da Ali ne želim razmotriti tako, lol. Kako bi to objasnili? Da li bih samo rekao na stvarnoj brojni liniji $-x$ čini obratu i $-(-x)$ bi ga ponovno učinio pozitivan?	abstract-algebra
A.204	Podsjekma u kojoj se dva morfizma slažu je točka u kojoj se slažu o poljima ostataka	$X, Y, Z$ neka bude šema, gdje su $X, Y$ $Z$ šeme. Znam definiciju "lokalno zatvorenog podšema $X$ gdje se dva $Z$-morfisma $\pi, \pi': X\rightarrow Y$ slažu" iz njegove univerzalne svojine. Također ga mogu definirati kao vlakninski proizvod dijagonale $$\delta :  Y\rightarrow Y\times_Z Y$$ s $$(\pi, \pi'): X\rightarrow Y\times_Z Y.$$ Moje pitanje: kako dokazati da je osnovni skup "lokalno zatvorenog podšema gdje se dva morfisma slažu" isti kao skup tačaka gdje se dva morfizma slažu na polju ostataka.	algebraic-geometry,schemes
A.205	Kako možemo pronaći x za x^n = n^x	Nađi vrijednosti x-a koje su $x^n=n^x$ ovdje, n $\in$ I. Jedno rješenje ostaje x=n Ali želim pronaći da li još rješenja može postojati $XX1$	algebra-precalculus,logarithms
A.206	Zabunjen sam na granici $\left(1+\frac{1}{n}\right)^n$.	OK, pročitao sam Richard Rusczykovu knjigu AoPS, taj 2. cjelok, i našao sam dio u kojem vrlo kratko govori o $\lim_{n \rightarrow \infty} \left(1+\frac{1}{n}\right)^n=e$. ali on zapravo ne daje strogo dokaz zašto je to istina (ne kritizirajući ga ili bilo što drugo).	algebra-precalculus,limits,exponential-function
A.207	Koja je funkcija asimptotički jednaka $\sum_{k \geq 0}k!/N^k$?	Radim na ovom problemu kako bih pronašao funkciju $f(N)$ s.t. $$ f(N) \sim \sum_{k \geq 0}\frac{k!}{N^k} $$ gdje $\sim$ znači da je dato $f$ i $g$ funkcije, imamo $f \sim g \implies f = O(g) \text{ and } f=\Omega(g)$. Na primjer, uzimajući u obzir desnu stranu gore navedene jednadžbe, na ulazu $N$ imamo sljedeće (to je divergentni niz) $$ f(N) \sim 1 + \frac{1}{N} + \frac{1}{2N^2} + \frac{1}{6N^3} + O\bigg(\frac{1}{N^4}\bigg) $$ Najbliža funkcija koju mogu zamisliti su binomije gdje: $$ (N \text{ choose } r) \sim \frac{N^r}{r!} $$ Ali to zapravo nije jednako prvoj jednadžbi gore.	algorithms,asymptotics,approximation,factorial
A.208	Odakle dolazi asimptota za $H_n^{(k)}$?	@Claude Leibovici je odgovor na pitanje Math Stack Exchange (to je drugi odgovor) daje asimptote za općenito harmonično broj $H_n^{(k)}=\sum_{i=1}^n \frac{1}{i^k}$: $$H_n^{(k)}=n^{-k}    \left(-\frac{n}{k-1}+\frac{1}{2}-\frac{k}{12    n}+O\left(\frac{1}{n^3}\right)\right)    +\zeta (k)$$ Heuristički, ovo je odličan fit. Ali može li mi netko reći ako je ovo objavljen rezultat, a što je još važnije kako se izvodi?	asymptotics,harmonic-functions,upper-lower-bounds,harmonic-numbers
A.209	Oceniti definirani integral: $\int_0^\infty e^{-hx^2}\;\mathrm{d}x$	Ako je to moguće, onda je moguće da je to moguće, ali ako je moguće, onda je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je da je moguće da je da je moguće da je da je moguće da je da je moguće da je da je da je moguće da je da je da je moguće da je da je da je moguće da je da je da je moguće da je da je da je da je moguće da je da je da je da je moguće da je da je da je moguće da je da je moguće da je da je da je da je moguće da je da je da je moguće da je da je moguće da je da je moguće da je da je da je moguće da je da je da je moguće da je da je da je moguće da je da je da je moguće da je da je da je moguće da je da je da je moguće da je da je da je moguće da je da je da je da je moguće da je da je da je da je moguće da je da je da je da je moguće da je da je da je da je da je da je moguće da je da je da je da je da je da je da je da je da je da je da je da je da je moguće da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da da je da je da je da je da je da je da je da je da je da d	calculus,integration,definite-integrals
A.210	Kako to elegantno prikazati?	Za $x \in \mathbb{R}$, razmislite o $f(x) = x(1-x)$, koristeći tradicionalne metode pronalaženja globalnih ekstremnih, možemo pokazati da derivat ima jedinstvenu nulu na $x= \frac12$ i $f''(\frac12) < 0$, tako da $x(1-x) \leq \frac14 = f(\frac12)$ postoji elegantniji način ?	calculus,inequality
A.211	U skladu s člankom 1.	Pokušavao sam riješiti MIT integralni problem (1) kada sam pogrešno pročitao integral i napisao (2) umjesto toga. $$\int\sqrt{x\cdot \sqrt[3]{x\cdot \sqrt[4]{x\cdot\sqrt[5]{x\ldots } }}}\,dx\tag{1}$$ $$\int\sqrt{x^2\sqrt{x^3\sqrt{x^4\sqrt{x^5\sqrt{x^6\sqrt{x^7\sqrt{x^8\ldots}}}}}}}\,dx\tag{2}$$ uspjela sam riješiti (1), kako se integrand pojednostavljuje na $x^{e-2}$, međutim, borim se s rješavanjem (2). Ako prepisamo korijene kao sile, dobivamo: $$\int x^\frac{2}{2}\cdot x^\frac{3}{4}\cdot x^\frac{4}{8}\cdot x^\frac{5}{16}\ldots\,dx$$ kombinirajući sile koje dobivamo: $$\int x^{\frac{2}{2}+\frac{3}{4}+\frac{4}{8}+\frac{5}{16}+\ldots}$$ eksponent je beskonačna suma $$\sum^{\infty}_{n=1}\frac{n+1}{2^n}\tag{3} $$ možemo podijeliti na: $$\sum^{\infty}_{n=1}\frac{n}{2^n}+\sum^{\infty}_{n=1}\frac{1}{2^n} $$ Prava suma je dobro poznata osim ovdje suma počinje na $n=1$, što znači da pravi iznos procjenjuje na 1.	calculus,sequences-and-series
A.212	Ocenjuje se beskonačna niz	Dobio sam funkciju $$f(x)=\sum_{n=0}^{\infty}(2n+1)(2x)^{2n}$$ i moram procjenjivati $f(1/4)$, tako da pronaći vrijednost $$f(1/4)=\sum_{n=0}^{\infty}\frac{2n+1}{2^{2n}}$$ bih cijenio bilo kakvu pomoć s ovim jer sam prilično izgubljen.	calculus,sequences-and-series,power-series,taylor-expansion
A.213	Računajte $\sum_{x=1}^{\infty} \frac{(x-1)}{2^{x}}$	Mogu dokazati konverziju, ali ne znam u kojoj vrijednosti.	calculus,power-series
A.214	Pokaži to $\int\limits_{-\infty}^\infty e^{-\pi x^2}dx = 1$	Želim pokazati da je $\int\limits_{-\infty}^\infty e^{-\pi x^2}dx = 1$. Po definiciji $$\int\limits_{-\infty}^\infty e^{-\pi x^2}dx = \lim\limits_{t\to\infty}\int\limits_{-t}^t e^{-\pi x^2}dx$$ i budući da je integrand $e^{-\pi x^2}$ parna funkcija $$\int\limits_{-\infty}^\infty e^{-\pi x^2}dx = \lim\limits_{t\to\infty}\int\limits_{-t}^t e^{-\pi x^2}dx = 2\lim\limits_{t\to\infty}\int\limits_0^t e^{-\pi x^2}dx$$ to jest možemo ekvivalentno pokazati da je $\lim\limits_{t\to\infty}\int\limits_0^t e^{-\pi x^2}dx=\frac{1}{2}$. Budući da je antiderivat $e^{-x^2}$ dat od strane funkcije pogreške ne možemo jednostavno procjenjivati integral, tako da sam pokušao koristiti proširenje snage niz, nadajući se da će biti u mogućnosti vidjeti da će rezultirani niz konvergirati na $\frac{1}{2}$: $$|\int\limits_0^t e^{-\pi x^2}dx-\frac{1}{2}| = |\int\limits_0^t\sum\limits_{n=0}^\infty\frac{\pi^n\cdot x^{2n}}{n!}dx - \frac{1}{2}| = |\sum\limits_{n=0}^\infty\frac{\pi^n\cdot t^{2n+1}}{n!\cdot(n+1)}-\frac{1}{2}|$$ Međutim, sumnjam da se konvergira i brza provjera u Wolfram Mathematica pokazuje da će s $t\to\infty$ rezultatni niz divergirati. Što radim pogrešno?	calculus,integration,improper-integrals
A.215	Sesta diskontinuiteta derivata	Dokazati da je skup nesusljednosti derivata svugdje diferencijalne funkcije $f(x)$ od 1. kategorije. Neka je $f'(x)$ derivat svugdje diferencijalne funkcije $f(x)$. Sada kao skup nesusljednosti bilo koje proizvoljne funkcije može se napisati kao obračunljiva unija zatvorenih skupova. Dakle, neka je $A$ skup nesusljednosti $f'(x)$, onda možemo napisati $$A=\bigcup_{n=1}^{\infty}A_n$$ gdje su svi $A_n$ zatvoreni skup. Sada pretpostavimo da za $n=n_0$ skup $A_{n_0}$ nije nigdje gusto onda postoji otvoreni intervali $(p, q)$ tako da za bilo koji intervali $I$ u tom otvorenom intervalu $(p, q)$ imamo $f(x)$0 i stoga je $A_{n_0}$ gusto u otvorenom intervalu $(p, q)$ i kao da je $A_{n_0}$ zatvoren tako da sadrži $(p, q)$ i stoga je $f'(x)$ potpuno nesusljedno na otvorenom intervalu $(p, q)$, ali da je izvedena funkcija $A_{n_0}$ ne može biti neprestano na otvorenom intervalu, Is to ispravno?	calculus
A.216	Računajte granicu $\lim\limits_{t \to + \infty} \int_0^{+ \infty} \frac{ \mathrm d x}{e^x+ \sin tx} $	Naprimjer, integrala funkcija je pozitivna funkcija za svaki $t >0$ od $$e^x + \sin tx > e^x-1 > x>0$$ i kao $x \to + \infty$ integrala funkcija se ponaša kao $e^{-x}$. Što sam TRIED: smatram $t=2n \pi$ višestruko od $2 \pi$, i vidjeti što se događa: $$\int_0^{+ \infty} \frac{ \mathrm d x}{e^x+ \sin (2n \pi x)} = \sum_{k=0}^\infty \int_{k /n}^{(k+1) /n} \frac{ \mathrm d x}{e^x+ \sin (2n \pi x)}$$ Prilikom promjene promjenika $u = 2n \pi x$ Ja dobivam \n}{{{{sum_{k=0}^\\in}{{{sum_{k=0}^\in}{2}{n}{2}{n}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}}{2}{2}}{2}{2}}{2}{2}}{2}}{2}{2}{2}}{2}}{2}}{2}{2}}{2}}{2}{2}}{2}}{2}}{2}{2}}{2}{2}}}{2}{2}{2}}{2}{2}}{2}}{2}}{2}{2}}}{2}{2}}}{2}{2}{2}{2}}{2}}{2}{2}{2}}{2}{2}{2}}{2}}{2}{2}}{2}{2}}{2}{2}}{2}{2}{2}}}{2}{2}}{2}{2}}{2}{2}}{2}{2}{2}{2}}{2}}{2}{2}{2}{2}{2}}{2}{2}{2}}{2}{2}}}{2}{2}{2}{2}}{2}{2}}{2}{2}}{2}}{2}{2}}}{2}{2}{2}{2}{2}{2}}{2}{2}}{2}{2}{2}{2}}{2}{2}{2}{2}}}{2}{2}{2}{2}{2}{2}}}}{2}{2}{2}{2}}{2}{2}}}{2}{2}{2}{2}{2}}{2}{2}}}{2}{2}}{2}{2}}{2}{2}{2}{2}{2}{2}{2}{2}}{2}{2}{2}{2}{2}{2}{2}}{2}{2}{2}{2}}{2}{2}}{2}{2}{2}{2}}{2}{2}}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}}{2}{2}{2}{2}}}{2}{2}}}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}}}{2}{2}{2}{2}}}{2}{2}{2}{2}{2}{2}{2}{2}}{2}{2}{2}{2}{2}{2}{2}{2}{2}}}{2}}}{2}{	calculus,integration,limits,definite-integrals
A.217	Jednostavan problem izračunavanja	Ovdje je pitanje - Nađi maksimalnu površinu jednokrugog trokuta u elipsi $x^2/a^2 + y^2/b^2 = 1$. Moj učitelj je to riješio uzimajući u obzir dvije proizvoljne točke na elipsi da budu vrhunac trokuta, biti $(a\cos\theta, b\sin \theta)$ i $(a\cos\theta, -b\sin \theta)$. (Reći da je $\theta$ theta) i zatim nastavio s izvedenijim testovima(što sam razumio) Ali, on nije pokazao što je naš $\theta$ bio, i izjavio da su te točke uvijek leže na elipsi. Zašto tako? I čak i ako jesu, koja je jamstvo da će točke takvog oblika biti naše potrebne vrhunace? Još jedna stvar, bio bih zahvalan ako biste mogli predložiti drugi način rješavanja ovog problema. Hvala!	calculus,derivatives
A.218	Problem u kojem se uključuje rekurzija binomijalnih koeficijenata	Wrt Ramsey brojevi Imam sljedeći identitet mi je dato: $ R(m, n) \leq R(m-1, n)+R(m, n-1) $ I imam sljedeće bazne slučajeve: $R(m,2)=m$ i $R(2,n)=n$. Jedan mora dokazati da: $R(m, n) \leq\left(\begin{array}{c}{m+n-2} \\ {m-1}\end{array}\right)$ Očito je da moramo nastaviti podijeliti dva termina na RHS u parove termina decrementiranje indeksa za 1 svaki put. Ali izgled kombinacije nije očito.	combinatorics,combinations,binomial-coefficients,ramsey-theory
A.219	Kako dokazati kombinatorni identitet kombinatornim argumentom	Pokušavam dokazati sljedeću identitetu koristeći kombinatorni argument: $$\dbinom{n+r+1}{r}=\sum_{k=0}^{r}\dbinom{n+k}{k}$$	combinatorics,discrete-mathematics,combinations,combinatorial-proofs
A.220	Kako mogu dokazati identitet $\sum_{k=0}^{n} \binom{x+k}{k}=\binom{x+n+1}{n}$	Teško mi je shvatiti kako dati kombinatorni dokaz identiteta $$\sum_{k=0}^{n} \binom{x+k}{k}=\binom{x+n+1}{n}$$.	combinatorics,summation,binomial-coefficients
A.221	Koliko je minimalnog broja $2$ potrebnih za pisanje pozitivnog cjelovog broja?	To je samo za zabavu i inspirirano procjenom pi, koristeći samo 2s. Za pozitivan cijeli broj $n$, $f(n)$ označi minimalni broj $2$s potrebni za izražavanje $n$ koristeći dodavanje, oduzimanje, množenje, dijeljenje i eksponencijaciju, zajedno s sposobnošću za kombiniranje $2$s, tako da je na primjer $2 \times 22^2 + \frac{222}{2}$ valjan izraz.	combinatorics,optimization,recreational-mathematics
A.222	Kompanija zapošljava $11$ novog zaposlenika, a oni će biti dodijeljeni u četiri različita odjela, A, B, C, D	U jednom odjeljenja ima najmanje jedan zaposlenik. Na koliko načina se mogu obaviti ovi zadatki? Znam da za svaki odjel (A,B,C,D) trebam dodati () i sve dok svaki odjel mora dobiti novog zaposlenika trebali bismo početi ovako: $$(x+x^2/2!+x^3/3!+...)^4$$ onda ako pogledamo to je $(e^x-1)^4$. Nakon ovog koraka ne znam što učiniti.	combinatorics,generating-functions
